size,type,algorithm,time_us,comparisons
1000,reverse,mergesort,632,8010
1000,reverse,string_quicksort,254,8203
1000,reverse,string_mergesort,723,1201
1000,reverse,msd_radix,645,0
1000,reverse,msd_radix_switch,315,3674
1100,reverse,quicksort,2495,207871
1100,reverse,mergesort,710,8665
1100,reverse,string_quicksort,293,9000
1100,reverse,string_mergesort,817,1325
1100,reverse,msd_radix,759,0
1100,reverse,msd_radix_switch,346,4042
1200,reverse,quicksort,2930,230646
1200,reverse,mergesort,832,9458
1200,reverse,string_quicksort,331,10141
1200,reverse,string_mergesort,954,1450
1200,reverse,msd_radix,860,0
1200,reverse,msd_radix_switch,414,4434
1300,reverse,quicksort,3621,244574
1300,reverse,mergesort,905,10349
1300,reverse,string_quicksort,368,10884
1300,reverse,string_mergesort,1046,1571
1300,reverse,msd_radix,948,0
1300,reverse,msd_radix_switch,438,4806
1400,reverse,quicksort,3314,267453
1400,reverse,mergesort,985,11206
1400,reverse,string_quicksort,403,11972
1400,reverse,string_mergesort,1097,1690
1400,reverse,msd_radix,978,0
1400,reverse,msd_radix_switch,461,5155
1500,reverse,quicksort,3522,282917
1500,reverse,mergesort,1057,12040
1500,reverse,string_quicksort,434,12944
1500,reverse,string_mergesort,1182,1808
1500,reverse,msd_radix,1073,0
1500,reverse,msd_radix_switch,514,5511
1600,reverse,quicksort,3813,305497
1600,reverse,mergesort,1130,13006
1600,reverse,string_quicksort,463,14074
1600,reverse,string_mergesort,1287,1936
1600,reverse,msd_radix,1137,0
1600,reverse,msd_radix_switch,536,5907
1700,reverse,quicksort,4118,322466
1700,reverse,mergesort,1198,13938
1700,reverse,string_quicksort,488,14918
1700,reverse,string_mergesort,1388,2054
1700,reverse,msd_radix,1206,0
1700,reverse,msd_radix_switch,564,6280
1800,reverse,quicksort,4251,337111
1800,reverse,mergesort,1304,14912
1800,reverse,string_quicksort,517,15946
1800,reverse,string_mergesort,1459,2174
1800,reverse,msd_radix,1272,0
1800,reverse,msd_radix_switch,633,6631
1900,reverse,quicksort,4630,366567
1900,reverse,mergesort,1376,15988
1900,reverse,string_quicksort,553,16922
1900,reverse,string_mergesort,1563,2295
1900,reverse,msd_radix,1341,0
1900,reverse,msd_radix_switch,650,7030
2000,reverse,quicksort,4855,376762
2000,reverse,mergesort,1398,17028
2000,reverse,string_quicksort,540,17983
2000,reverse,string_mergesort,1615,2410
2000,reverse,msd_radix,1318,0
2000,reverse,msd_radix_switch,617,7415
2100,reverse,quicksort,4764,400412
2100,reverse,mergesort,1435,17943
2100,reverse,string_quicksort,571,19095
2100,reverse,string_mergesort,1610,2523
2100,reverse,msd_radix,1383,0
2100,reverse,msd_radix_switch,651,7775
2200,reverse,quicksort,4960,421471
2200,reverse,mergesort,1505,18475
2200,reverse,string_quicksort,623,20099
2200,reverse,string_mergesort,1682,2642
2200,reverse,msd_radix,1445,0
2200,reverse,msd_radix_switch,676,8142
2300,reverse,quicksort,5144,435126
2300,reverse,mergesort,1590,19356
2300,reverse,string_quicksort,634,21004
2300,reverse,string_mergesort,1765,2758
2300,reverse,msd_radix,1502,0
2300,reverse,msd_radix_switch,720,8495
2400,reverse,quicksort,5512,462618
2400,reverse,mergesort,1652,20106
2400,reverse,string_quicksort,670,22363
2400,reverse,string_mergesort,1862,2879
2400,reverse,msd_radix,1558,0
2400,reverse,msd_radix_switch,741,8867
2500,reverse,quicksort,5987,482553
2500,reverse,mergesort,1733,21025
2500,reverse,string_quicksort,713,23532
2500,reverse,string_mergesort,1938,3003
2500,reverse,msd_radix,1636,0
2500,reverse,msd_radix_switch,780,9236
2600,reverse,quicksort,5847,494032
2600,reverse,mergesort,1863,22026
2600,reverse,string_quicksort,757,24283
2600,reverse,string_mergesort,2073,3131
2600,reverse,msd_radix,1725,0
2600,reverse,msd_radix_switch,836,9790
2700,reverse,quicksort,6267,518702
2700,reverse,mergesort,1934,22729
2700,reverse,string_quicksort,778,25630
2700,reverse,string_mergesort,2139,3249
2700,reverse,msd_radix,1881,0
2700,reverse,msd_radix_switch,887,9800
2800,reverse,quicksort,6864,538054
2800,reverse,mergesort,2020,23860
2800,reverse,string_quicksort,866,26663
2800,reverse,string_mergesort,2351,3371
2800,reverse,msd_radix,1925,0
2800,reverse,msd_radix_switch,1004,9108
2900,reverse,quicksort,7100,559566
