size,type,algorithm,time_us,comparisons
2300,reverse,msd_radix_switch,729,8488
2400,reverse,quicksort,5431,458187
2400,reverse,mergesort,1674,20243
2400,reverse,string_quicksort,699,22289
2400,reverse,string_mergesort,1895,2896
2400,reverse,msd_radix,2503,0
2400,reverse,msd_radix_switch,755,8832
2500,reverse,quicksort,5573,471680
2500,reverse,mergesort,1763,21339
2500,reverse,string_quicksort,715,23389
2500,reverse,string_mergesort,2041,3013
2500,reverse,msd_radix,2565,0
2500,reverse,msd_radix_switch,772,9205
2600,reverse,quicksort,7976,493565
2600,reverse,mergesort,2326,21851
2600,reverse,string_quicksort,876,24427
2600,reverse,string_mergesort,2475,3131
2600,reverse,msd_radix,2833,0
2600,reverse,msd_radix_switch,856,9575
2700,reverse,quicksort,6952,515991
2700,reverse,mergesort,2092,22693
2700,reverse,string_quicksort,836,25455
2700,reverse,string_mergesort,2309,3253
2700,reverse,msd_radix,2918,0
2700,reverse,msd_radix_switch,907,9956
2800,reverse,quicksort,7082,541478
2800,reverse,mergesort,2113,23746
2800,reverse,string_quicksort,850,26549
2800,reverse,string_mergesort,2362,3376
2800,reverse,msd_radix,3010,0
2800,reverse,msd_radix_switch,924,10310
2900,reverse,quicksort,6957,550583
2900,reverse,mergesort,2192,24664
2900,reverse,string_quicksort,877,27692
2900,reverse,string_mergesort,2464,3495
2900,reverse,msd_radix,3121,0
2900,reverse,msd_radix_switch,966,10698
3000,reverse,quicksort,7636,574388
3000,reverse,mergesort,2279,25694
3000,reverse,string_quicksort,912,28699
3000,reverse,string_mergesort,2678,3616
3000,reverse,msd_radix,3219,0
3000,reverse,msd_radix_switch,999,11095
100,nearly,quicksort,220,17079
100,nearly,mergesort,51,796
100,nearly,string_quicksort,19,558
100,nearly,string_mergesort,57,113
100,nearly,msd_radix,100,0
100,nearly,msd_radix_switch,29,352
200,nearly,quicksort,403,30290
200,nearly,mergesort,109,1723
200,nearly,string_quicksort,40,1200
200,nearly,string_mergesort,117,239
200,nearly,msd_radix,203,0
200,nearly,msd_radix_switch,60,765
300,nearly,quicksort,613,45656
300,nearly,mergesort,182,2741
300,nearly,string_quicksort,67,2036
300,nearly,string_mergesort,196,356
300,nearly,msd_radix,300,0
300,nearly,msd_radix_switch,88,1147
400,nearly,quicksort,827,62836
400,nearly,mergesort,252,3839
400,nearly,string_quicksort,96,2863
400,nearly,string_mergesort,261,472
400,nearly,msd_radix,416,0
400,nearly,msd_radix_switch,120,1517
500,nearly,quicksort,1058,80862
500,nearly,mergesort,330,4877
500,nearly,string_quicksort,125,3692
500,nearly,string_mergesort,346,592
500,nearly,msd_radix,531,0
500,nearly,msd_radix_switch,155,1883
600,nearly,quicksort,1277,96510
600,nearly,mergesort,421,6279
600,nearly,string_quicksort,152,4584
600,nearly,string_mergesort,441,708
600,nearly,msd_radix,627,0
600,nearly,msd_radix_switch,185,2276
700,nearly,quicksort,1525,114032
700,nearly,mergesort,517,7676
700,nearly,string_quicksort,179,5391
700,nearly,string_mergesort,540,825
700,nearly,msd_radix,727,0
700,nearly,msd_radix_switch,219,2648
800,nearly,quicksort,1715,127375
800,nearly,mergesort,608,8812
800,nearly,string_quicksort,210,6386
800,nearly,string_mergesort,629,951
800,nearly,msd_radix,840,0
800,nearly,msd_radix_switch,252,3088
900,nearly,quicksort,1972,146376
900,nearly,mergesort,677,9887
900,nearly,string_quicksort,255,7956
900,nearly,string_mergesort,694,1065
900,nearly,msd_radix,935,0
900,nearly,msd_radix_switch,285,3449
1000,nearly,quicksort,2197,164136
1000,nearly,mergesort,764,10900
1000,nearly,string_quicksort,269,8246
1000,nearly,string_mergesort,764,1183
1000,nearly,msd_radix,1056,0
1000,nearly,msd_radix_switch,324,3785
1100,nearly,quicksort,2388,177686
1100,nearly,mergesort,873,12354
1100,nearly,string_quicksort,306,9483
1100,nearly,string_mergesort,875,1303
1100,nearly,msd_radix,1147,0
1100,nearly,msd_radix_switch,353,4142
1200,nearly,quicksort,2648,198938
1200,nearly,mergesort,962,13678
1200,nearly,string_quicksort,337,10281
1200,nearly,string_mergesort,959,1419
1200,nearly,msd_radix,1252,0
1200,nearly,msd_radix_switch,388,4489
1300,nearly,quicksort,2837,211515
1300,nearly,mergesort,1062,15187
1300,nearly,string_quicksort,362,11138
1300,nearly,string_mergesort,1058,1529
1300,nearly,msd_radix,1320,0
1300,nearly,msd_radix_switch,407,4841
1400,nearly,quicksort,3136,232619
1400,nearly,mergesort,1153,16694
1400,nearly,string_quicksort,401,12511
1400,nearly,string_mergesort,1159,1642
1400,nearly,msd_radix,1411,0
1400,nearly,msd_radix_switch,445,5194
1500,nearly,quicksort,3287,243364
1500,nearly,mergesort,1265,17627
1500,nearly,string_quicksort,423,13159
1500,nearly,string_mergesort,1243,1758
1500,nearly,msd_radix,1508,0
1500,nearly,msd_radix_switch,481,5567
1600,nearly,quicksort,3587,265642
1600,nearly,mergesort,1344,18883
1600,nearly,string_quicksort,460,14325
1600,nearly,string_mergesort,1328,1883
1600,nearly,msd_radix,1658,0
1600,nearly,msd_radix_switch,514,5934
1700,nearly,quicksort,3763,271951
1700,nearly,mergesort,1455,20309
1700,nearly,string_quicksort,539,15943
1700,nearly,string_mergesort,1456,2002
1700,nearly,msd_radix,1798,0
1700,nearly,msd_radix_switch,545,6334
1800,nearly,quicksort,4043,297863
1800,nearly,mergesort,1567,21590
1800,nearly,string_quicksort,534,16560
1800,nearly,string_mergesort,1527,2126
1800,nearly,msd_radix,1937,0
1800,nearly,msd_radix_switch,559,6742
1900,nearly,quicksort,4277,314560
1900,nearly,mergesort,1509,22417
1900,nearly,string_quicksort,516,17329
1900,nearly,string_mergesort,1518,2249
1900,nearly,msd_radix,1825,0
1900,nearly,msd_radix_switch,565,7131
2000,nearly,quicksort,4401,329634
2000,nearly,mergesort,1588,23498
2000,nearly,string_quicksort,576,18856
2000,nearly,string_mergesort,1575,2368
2000,nearly,msd_radix,1926,0
2000,nearly,msd_radix_switch,605,7538
2100,nearly,quicksort,4333,342514
2100,nearly,mergesort,1672,25255
2100,nearly,string_quicksort,623,19968
2100,nearly,string_mergesort,1725,2491
2100,nearly,msd_radix,2029,0
2100,nearly,msd_radix_switch,656,7917
2200,nearly,quicksort,4555,356780
2200,nearly,mergesort,1757,26466
2200,nearly,string_quicksort,629,20710
2200,nearly,string_mergesort,1789,2616
2200,nearly,msd_radix,2163,0
2200,nearly,msd_radix_switch,654,8305
2300,nearly,quicksort,4822,380656
2300,nearly,mergesort,1853,28116
2300,nearly,string_quicksort,670,21541
2300,nearly,string_mergesort,1896,2741
2300,nearly,msd_radix,2297,0
2300,nearly,msd_radix_switch,695,8696
2400,nearly,quicksort,5259,395088
2400,nearly,mergesort,1935,29680
2400,nearly,string_quicksort,702,22523
2400,nearly,string_mergesort,1968,2860
2400,nearly,msd_radix,2379,0
2400,nearly,msd_radix_switch,743,9080
2500,nearly,quicksort,5196,406731
2500,nearly,mergesort,2030,31162
2500,nearly,string_quicksort,723,23606
2500,nearly,string_mergesort,2096,2985
2500,nearly,msd_radix,2464,0
2500,nearly,msd_radix_switch,774,9472
2600,nearly,quicksort,5405,426602
2600,nearly,mergesort,2167,32943
2600,nearly,string_quicksort,770,24624
2600,nearly,string_mergesort,2194,3113
2600,nearly,msd_radix,2586,0
2600,nearly,msd_radix_switch,784,9907
2700,nearly,quicksort,5838,447436
2700,nearly,mergesort,2336,34096
2700,nearly,string_quicksort,767,25781
2700,nearly,string_mergesort,2289,3233
2700,nearly,msd_radix,2682,0
2700,nearly,msd_radix_switch,870,10275
2800,nearly,quicksort,5983,452374
2800,nearly,mergesort,2476,35568
2800,nearly,string_quicksort,852,26620
2800,nearly,string_mergesort,2551,3360
2800,nearly,msd_radix,2992,0
2800,nearly,msd_radix_switch,938,10693
2900,nearly,quicksort,6495,492410
2900,nearly,mergesort,2574,36243
2900,nearly,string_quicksort,881,27706
2900,nearly,string_mergesort,2558,3487
2900,nearly,msd_radix,3078,0
2900,nearly,msd_radix_switch,939,11114
3000,nearly,quicksort,7319,571509
3000,nearly,mergesort,2642,37263
3000,nearly,string_quicksort,942,29261
3000,nearly,string_mergesort,2609,3607
3000,nearly,msd_radix,3110,0
3000,nearly,msd_radix_switch,937,11492
100,prefix,quicksort,262,21360
100,prefix,mergesort,101,4365
100,prefix,string_quicksort,36,1361
100,prefix,string_mergesort,84,741
100,prefix,msd_radix,251,0
100,prefix,msd_radix_switch,144,68
200,prefix,quicksort,555,43327
200,prefix,mergesort,238,10491
200,prefix,string_quicksort,87,3151
200,prefix,string_mergesort,188,1526
200,prefix,msd_radix,484,0
200,prefix,msd_radix_switch,279,212
300,prefix,quicksort,895,69874
300,prefix,mergesort,392,17297
300,prefix,string_quicksort,117,4368
300,prefix,string_mergesort,309,2326
300,prefix,msd_radix,677,0
300,prefix,msd_radix_switch,409,460
400,prefix,quicksort,1273,101082
400,prefix,mergesort,546,24360
400,prefix,string_quicksort,174,6666
400,prefix,string_mergesort,425,3135
400,prefix,msd_radix,874,0
400,prefix,msd_radix_switch,548,740
500,prefix,quicksort,1557,122566
500,prefix,mergesort,715,31799
500,prefix,string_quicksort,215,8061
500,prefix,string_mergesort,541,3946
500,prefix,msd_radix,1064,0
500,prefix,msd_radix_switch,697,1041
600,prefix,quicksort,1937,151469
600,prefix,mergesort,891,39799
600,prefix,string_quicksort,267,9768
600,prefix,string_mergesort,678,4755
600,prefix,msd_radix,1234,0
600,prefix,msd_radix_switch,834,1368
700,prefix,quicksort,2275,176421
700,prefix,mergesort,1059,47588
700,prefix,string_quicksort,316,11896
700,prefix,string_mergesort,813,5564
700,prefix,msd_radix,1389,0
700,prefix,msd_radix_switch,990,1718
800,prefix,quicksort,2603,204222
800,prefix,mergesort,1248,55795
800,prefix,string_quicksort,350,13049
800,prefix,string_mergesort,958,6377
800,prefix,msd_radix,1580,0
800,prefix,msd_radix_switch,1142,2060
900,prefix,quicksort,3021,236501
900,prefix,mergesort,1427,64216
900,prefix,string_quicksort,458,15576
900,prefix,string_mergesort,1117,7186
900,prefix,msd_radix,1643,0
900,prefix,msd_radix_switch,1178,2482
1000,prefix,quicksort,3098,258233
1000,prefix,mergesort,1511,72575
1000,prefix,string_quicksort,413,16649
1000,prefix,string_mergesort,1116,7999
1000,prefix,msd_radix,1827,0
1000,prefix,msd_radix_switch,1856,2955
1100,prefix,quicksort,3407,282882
1100,prefix,mergesort,1680,81128
1100,prefix,string_quicksort,478,18889
1100,prefix,string_mergesort,1251,8819
1100,prefix,msd_radix,2022,0
1100,prefix,msd_radix_switch,1454,3368
1200,prefix,quicksort,3806,318216
1200,prefix,mergesort,1869,90256
1200,prefix,string_quicksort,502,20097
1200,prefix,string_mergesort,1364,9643
1200,prefix,msd_radix,2237,0
1200,prefix,msd_radix_switch,1565,3889
1300,prefix,quicksort,4351,360438
1300,prefix,mergesort,2046,99151
1300,prefix,string_quicksort,572,23023
1300,prefix,string_mergesort,1535,10460
1300,prefix,msd_radix,2406,0
1300,prefix,msd_radix_switch,1707,4250
1400,prefix,quicksort,4503,376102
1400,prefix,mergesort,2224,107649
1400,prefix,string_quicksort,628,24685
1400,prefix,string_mergesort,1649,11284
1400,prefix,msd_radix,2645,0
1400,prefix,msd_radix_switch,1864,4740
1500,prefix,quicksort,4923,410878
1500,prefix,mergesort,2411,116866
1500,prefix,string_quicksort,663,26044
1500,prefix,string_mergesort,1779,12108
1500,prefix,msd_radix,2829,0
1500,prefix,msd_radix_switch,2039,5349
1600,prefix,quicksort,5228,433588
1600,prefix,mergesort,2624,125930
1600,prefix,string_quicksort,740,28345
1600,prefix,string_mergesort,2963,12934
1600,prefix,msd_radix,3925,0
1600,prefix,msd_radix_switch,2614,5950
1700,prefix,quicksort,5961,455989
1700,prefix,mergesort,2952,135277
1700,prefix,string_quicksort,742,28867
1700,prefix,string_mergesort,2041,13748
1700,prefix,msd_radix,3185,0
1700,prefix,msd_radix_switch,2237,6398
1800,prefix,quicksort,5874,486457
1800,prefix,mergesort,2955,144390
1800,prefix,string_quicksort,875,33695
1800,prefix,string_mergesort,2172,14575
1800,prefix,msd_radix,3418,0
1800,prefix,msd_radix_switch,2407,6869
1900,prefix,quicksort,6413,508277
1900,prefix,mergesort,3152,153726
1900,prefix,string_quicksort,875,33260
1900,prefix,string_mergesort,2320,15398
1900,prefix,msd_radix,3632,0
1900,prefix,msd_radix_switch,2573,7335
2000,prefix,quicksort,6752,557609
2000,prefix,mergesort,3387,163232
2000,prefix,string_quicksort,935,37192
2000,prefix,string_mergesort,2440,16230
2000,prefix,msd_radix,3882,0
2000,prefix,msd_radix_switch,2678,7978
2100,prefix,quicksort,7214,587833
2100,prefix,mergesort,3699,172749
2100,prefix,string_quicksort,983,37572
2100,prefix,string_mergesort,2720,17064
2100,prefix,msd_radix,4309,0
2100,prefix,msd_radix_switch,2998,8651
2200,prefix,quicksort,7942,618460
2200,prefix,mergesort,3969,182242
2200,prefix,string_quicksort,1074,39879
2200,prefix,string_mergesort,2864,17899
2200,prefix,msd_radix,4515,0
2200,prefix,msd_radix_switch,3176,9083
2300,prefix,quicksort,8392,648465
2300,prefix,mergesort,4162,191760
2300,prefix,string_quicksort,1097,41746
2300,prefix,string_mergesort,3025,18730
2300,prefix,msd_radix,4770,0
2300,prefix,msd_radix_switch,3302,9774
2400,prefix,quicksort,8489,656737
2400,prefix,mergesort,4411,202095
2400,prefix,string_quicksort,1166,43324
2400,prefix,string_mergesort,3165,19563
2400,prefix,msd_radix,5230,0
2400,prefix,msd_radix_switch,3590,10261
2500,prefix,quicksort,9337,686935
2500,prefix,mergesort,4692,211239
2500,prefix,string_quicksort,1333,46007
2500,prefix,string_mergesort,3582,20395
2500,prefix,msd_radix,5499,0
2500,prefix,msd_radix_switch,3702,10776
2600,prefix,quicksort,9925,708262
2600,prefix,mergesort,5199,221408
2600,prefix,string_quicksort,1353,46360
2600,prefix,string_mergesort,3644,21223
2600,prefix,msd_radix,6121,0
2600,prefix,msd_radix_switch,4269,11515
2700,prefix,quicksort,10530,790899
2700,prefix,mergesort,5324,231212
2700,prefix,string_quicksort,1410,53056
2700,prefix,string_mergesort,3716,22059
2700,prefix,msd_radix,6027,0
2700,prefix,msd_radix_switch,3830,12017
2800,prefix,quicksort,10103,775406
2800,prefix,mergesort,5243,240966
2800,prefix,string_quicksort,1391,50880
2800,prefix,string_mergesort,3754,22900
2800,prefix,msd_radix,6075,0
2800,prefix,msd_radix_switch,3945,12719
2900,prefix,quicksort,10648,796950
2900,prefix,mergesort,5449,250912
2900,prefix,string_quicksort,1537,55419
2900,prefix,string_mergesort,3943,23738
2900,prefix,msd_radix,6567,0
2900,prefix,msd_radix_switch,4658,13317
3000,prefix,quicksort,10666,823830
3000,prefix,mergesort,5564,260919
3000,prefix,string_quicksort,1489,56925
3000,prefix,string_mergesort,3870,24581
3000,prefix,msd_radix,6517,0
3000,prefix,msd_radix_switch,4369,13870
